wisid                                            ,school                                                     ,location                 ,latitude    ,longitude    , , ,
49327                                            ,Lycoming College                                           ,"Williamsport, PA"       ,41.2454429  ,-76.99988255 , , ,
49319                                            ,Macalester College                                         ,"St. Paul, MN"           ,44.9376912  ,-93.16928542 , , ,
49176                                            ,MacMurray College                                          ,"Jacksonville, IL"       ,39.73089025 ,-90.22311044 , , ,
49203                                            ,Maine Maritime Academy                                     ,"Castine, ME"            ,44.3883966  ,-68.8042331  , , ,
49254                                            ,Manchester University                                      ,"North Manchester, IN"   ,41.01177555 ,-85.76000954 , , ,
49113                                            ,Mansfield University of Pennsylvania                       ,"Mansfield, PA"          ,41.80430205 ,-77.069778   , , ,
49274                                            ,Maranatha Baptist University                               ,"Watertown, WI"          ,43.19591645 ,-88.7400164  , , ,
49540                                            ,Marietta College                                           ,"Marietta, OH"           ,39.41609505 ,-81.44842059 , , ,
49393                                            ,Marist College                                             ,"Poughkeepsie, NY"       ,41.7220379  ,-73.9343038  , , ,
49349                                            ,Marquette University                                       ,"Milwaukee, WI"          ,43.03889625 ,-87.9315545  , , ,
49467                                            ,Mars Hill College                                          ,"Mars Hill, NC"          ,35.8263793  ,-82.5486848  , , ,
49367                                            ,Marshall University                                        ,"Huntington, WV"         ,38.42388975 ,-82.42656747 , , ,
49321                                            ,Martin Luther College                                      ,"New Ulm, MN"            ,44.3044386  ,-94.47182496 , , ,
49275                                            ,Maryville College (Tennessee)                              ,"Maryville, TN"          ,35.751472   ,-83.9642249  , , ,
49218                                            ,Massachusetts Institute of Technology                      ,"Cambridge, MA"          ,42.3583961  ,-71.09567788 , , ,
49204                                            ,Massachusetts Maritime Academy                             ,"Buzzards Bay, MA"       ,41.7395496  ,-70.6239204  , , ,
49127                                            ,McDaniel College                                           ,"Westminster, MD"        ,39.5852104  ,-77.00371453 , , ,
49305                                            ,McMurry University                                         ,"Abilene, TX"            ,32.42933465 ,-99.74874358 , , ,
49045                                            ,McNeese State University                                   ,"Lake Charles, LA"       ,30.18037575 ,-93.21629299 , , ,
49529                                            ,Menlo College                                              ,"Atherton, CA"           ,37.45672165 ,-122.1926482 , , ,
49520                                            ,Mercyhurst College                                         ,"Erie, PA"               ,42.1046426  ,-80.05339769 , , ,
49490                                            ,Merrimack College                                          ,"North Andover, MA"      ,42.66688065 ,-71.12292178 , , ,
49461                                            ,Mesa State College                                         ,"Grand Junction, CO"     ,39.0821928  ,-108.5560288 , , ,
