wisid,record,conference,coach,division,location
53581,2-11,PFL,Sim AI,D-IAA,"Lexington, VA"
53315,4-9,CIAA,Sim AI,D-II,"Petersburg, VA"
53316,10-3,CIAA,Sim AI,D-II,"Richmond, VA"
53777,4-9,NCAC,Sim AI,D-III,"Crawfordsville, IN"
53557,7-6,NEC,Sim AI,D-IAA,"Staten Island, NY"
53420,3-10,ACC,Sim AI,D-IA,"Winston-Salem, NC"
53627,2-11,MIAA,Sim AI,D-II,"Topeka, KS"
53687,3-10,IIAC,Sim AI,D-III,"Washington, PA"
53815,8-5,ODAC,Sim AI,D-III,"Lexington, VA"
53490,7-7,PAC-10,Sim AI,D-IA,"Pullman, WA"
53724,11-4,MWC,Sim AI,D-III,"St. Louis, MO"
53363,6-7,NSIC,Sim AI,D-II,"Wayne, NE"
53688,9-6,IIAC,Sim AI,D-III,"Waynesburg, PA"
53508,8-5,Big Sky,Sim AI,D-IAA,"Ogden, UT"
53772,5-8,NJAC,Sim AI,D-III,"Dover, DE"
53758,4-9,NESCAC,Sim AI,D-III,"Middletown, CT"
53365,4-9,NSIC,Sim AI,D-II,"West Liberty, WV"
53444,3-10,Big East,Sim AI,D-IA,"Morgantown, WV"
53401,9-4,SAC,Sim AI,D-II,"Montgomery, WV"
53402,8-6,SAC,Sim AI,D-II,"Buckhannon, WV"
53292,7-6,SoCon,Sim AI,D-IAA,"Cullowhee, NC"
53519,2-11,Gateway,Sim AI,D-IAA,"Macomb, IL"
53520,7-6,Gateway,Sim AI,D-IAA,"Bowling Green, KY"
53484,6-7,MAC,Sim AI,D-IA,"Kalamazoo, MI"
53742,5-8,NEFC,Sim AI,D-III,"Springfield, MA"
53384,4-9,RMAC,Sim AI,D-II,"Silver City, NM"
53341,3-10,NCC,Sim AI,D-II,"Monmouth, OR"
53390,4-9,RMAC,Sim AI,D-II,"Gunnison, CO"
53747,5-8,NEFC,Sim AI,D-III,"Westfield, MA"
53736,6-7,MIAC,Sim AI,D-III,"New Wilmington, PA"
53832,9-4,SCAC,Sim AI,D-III,"Whittier, CA"
53789,6-7,NWC,Sim AI,D-III,"Spokane, WA"
53706,7-6,MAC,Sim AI,D-III,"Wilkes-Barre, PA"
53790,1-12,NWC,Sim AI,D-III,"Salem, OR"
53258,13-1,Sun Belt,pcf2007,D-IA,"Annapolis, MD"
53605,14-2,GSC,gearhead1968,D-II,"Valdosta, GA"
53580,15-2,PFL,moreron,D-IAA,"Valparaiso, IN"
53283,9-5,A10,j2mul,D-IAA,"Villanova, PA"
53425,8-6,ACC,majique,D-IA,"Blacksburg, VA"
53682,4-9,IIAC,amarner32,D-III,"Waverly, IA"
53593,9-4,GLIAC,thadsatre,D-II,"Detroit, MI"
53372,14-2,PSAC,dawgnuts,D-II,"West Chester, PA"
53617,17-0,LSC,bigpoppa85,D-II,"Canyon, TX"
53366,10-4,NSIC,clarkvb,D-II,"Institute, WV"
53657,11-3,FFBC,Robin80,D-III,"Danbury, CT"
53342,13-2,NCC,knightsaynih,D-II,"Bellingham, WA"
53844,14-1,USA South,Johnnyluv15,D-III,"Fulton, MO"
53676,17-0,IBFC,frmrd3coach,D-III,"Wheaton, IL"
53711,16-1,MAC,AllStarInc,D-III,"Chester, PA"
53766,7-6,NJAC,Sim AI,D-III,"Wayne, NJ"
53754,4-9,NESCAC,Sim AI,D-III,"Williamstown, MA"
53806,10-3,OAC,Sim AI,D-III,"Wilmington, OH"
53323,5-8,CIAA,Sim AI,D-II,"Winston-Salem, NC"
53694,5-8,MIAA,Sim AI,D-III,"Milwaukee, WI"
53778,8-5,NCAC,Sim AI,D-III,"Springfield, OH"
53293,3-10,SoCon,Sim AI,D-IAA,"Spartanburg, SC"
53658,3-10,FFBC,Sim AI,D-III,"Worcester, MA"
53533,4-9,Ivy,Sim AI,D-IAA,"New Haven, CT"
53396,6-7,SAC,murph705,D-II,"Wingate, NC"
53748,13-2,NEFC,psed,D-III,"Worcester, MA"
53521,17-0,Gateway,horndogs2s,D-IAA,"Youngstown, OH"
53726,7-7,MIAC,mwbergeron,D-III,"St. Paul, MN"
53492,11-4,PAC-10,schultz11,D-IA,"Provo, UT"
53640,8-6,ASC,LethalAnt,D-III,"Claremont, CA"
53448,11-3,Big East,mholland,D-IA,"Chicago, IL"
53368,13-2,PSAC,keeper03,D-II,"East Stroudsburg, PA"
53803,15-1,OAC,goldencats,D-III,"Tiffin, OH"
53589,13-2,GLIAC,jaybrummel,D-II,"Hillsdale, MI"
53397,2-11,SAC,zeee034,D-II,"Hickory, NC"
53255,10-4,Sun Belt,tiltwar,D-IA,"Murfreesboro, TN"
53800,10-4,OAC,shays75BR,D-III,"Alliance, OH"
53550,6-7,MEAC,zfarmer100,D-IAA,"Greensboro, NC"
53439,13-1,Big East,nate1771,D-IA,"New Brunswick, NJ"
53357,8-6,NSIC,chadsteelers,D-II,"Marshall, MN"
53753,15-2,NESCAC,Noleman2693,D-III,"Medford, MA"
53592,4-9,GLIAC,swarefl,D-II,"Findlay, OH"
53424,13-1,ACC,ez37,D-IA,"Coral Gables, FL"
53845,15-1,WIAC,brianlee,D-III,"Eau Claire, WI"
53259,10-4,Sun Belt,NW_OHIO,D-IA,"West Point, NY"
53245,9-5,SEC,clayolson1,D-IA,"Nashville, TN"
53359,8-5,NSIC,BrianBrummel,D-II,"Winona, MN"
